model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Random forest,0.5,0.34196891191709844,0.36787564766839376,0.0
Random forest,0.51,0.328751189595009,0.35497515068203445,0.0
Random forest,0.52,0.3156303972366148,0.3415371329879101,0.0
Random forest,0.53,0.29676992613824277,0.3275272847536103,0.0
Random forest,0.54,0.28272133363370133,0.31290831268303665,0.0
Random forest,0.55,0.2884283246977547,0.2976396085204374,0.0
Random forest,0.56,0.2670748940178992,0.28167687235044736,0.0
Random forest,0.57,0.26714061935172917,0.26497168333534166,0.0
Random forest,0.58,0.2380952380952381,0.24747100912904024,0.0
Random forest,0.59,0.19764943763427273,0.22911664349804123,0.0
Random forest,0.6,0.19170984455958553,0.20984455958549225,0.0
Random forest,0.61,0.18599707718878705,0.18958416367742792,0.0
Random forest,0.62,0.17207526588491956,0.16825743114262337,0.0
Random forest,0.63,0.15460019605097328,0.1457779022545862,0.0
Random forest,0.64,0.128957973517559,0.12204951065054681,0.0
Random forest,0.65,0.10436713545521834,0.09696521095484811,0.0
Random forest,0.66,0.10972264553489788,0.07040536421822607,0.0
Random forest,0.67,0.11116344795101268,0.04223582980059648,0.0
Random forest,0.68,0.11334196891191708,0.012305699481865107,0.0
Random forest,0.69,0.1056326257730236,-0.01955540698646152,0.0
Random forest,0.7,0.12089810017271158,-0.05354058721934363,0.0
Random forest,0.71,0.10219760586028231,-0.08986957298552789,0.0
Random forest,0.72,0.09104367135455219,-0.1287934863064396,0.0
Random forest,0.73,0.0982536941086164,-0.17060065246593736,0.0
Random forest,0.74,0.05978477481068156,-0.21562375448385807,0.0
Random forest,0.75,0.03626943005181346,-0.2642487046632125,0.0
Random forest,0.76,0.0397236614853195,-0.3169257340241798,0.0
Random forest,0.77,0.04437936472178419,-0.3741833746339267,0.0
Random forest,0.78,0.02166745171926518,-0.4366462552991053,0.0
Random forest,0.79,0.008635578583765069,-0.5050579817419198,0.0
Random forest,0.8,0.010362694300518116,-0.5803108808290158,0.0
Gradient boosting,0.01,0.6807452766001989,0.6807452766001989,0.0
Gradient boosting,0.02,0.6775933171195939,0.6774875753410172,0.0
Gradient boosting,0.03,0.6746434485337321,0.6741627049837081,0.0
Gradient boosting,0.04,0.6714162348877375,0.6707685664939551,0.0
Gradient boosting,0.05,0.662939732751568,0.6673029724570494,0.0
Gradient boosting,0.06,0.6599051923712931,0.6637636423768052,0.0
Gradient boosting,0.07,0.6565268260070198,0.6601481976711794,0.0
Gradient boosting,0.08,0.6530750168956972,0.6564541563415184,0.0
Gradient boosting,0.09,0.649547343847862,0.6526789272903263,0.0
Gradient boosting,0.1,0.6459412780656304,0.6488198042602188,0.0
Gradient boosting,0.11,0.6422541770972812,0.6448739593642662,0.0
Gradient boosting,0.12,0.6384832783796515,0.6408384361752237,0.0
Gradient boosting,0.13,0.6346256923351795,0.6367101423381574,0.0
Gradient boosting,0.14,0.6306783949873478,0.6324858416676707,0.0
Gradient boosting,0.15,0.6223712282840597,0.6281621456872905,0.0
Gradient boosting,0.16,0.618307426597582,0.6237355045645201,0.0
Gradient boosting,0.17,0.6037830076783819,0.6192021973905987,0.0
Gradient boosting,0.18,0.5943384304309365,0.6145583217490206,0.0
Gradient boosting,0.19,0.5899699353930787,0.6097997825113541,0.0
Gradient boosting,0.2,0.5803108808290155,0.604922279792746,0.0
Gradient boosting,0.21,0.5757198137338493,0.5999212959926543,0.0
Gradient boosting,0.22,0.5710110269695762,0.5947920818387139,0.0
Gradient boosting,0.23,0.5677276091783864,0.5895296413431128,0.0
Gradient boosting,0.24,0.5628579220070903,0.5841287155713117,0.0
Gradient boosting,0.25,0.5578583765112263,0.5785837651122625,0.0
Gradient boosting,0.26,0.5475423610138636,0.5728889511272931,0.0
Gradient boosting,0.27,0.5441834054936475,0.5670381148413656,0.0
Gradient boosting,0.28,0.5388601036269429,0.5610247553252734,0.0
Gradient boosting,0.29,0.5355031744873385,0.5548420054002773,0.0
Gradient boosting,0.3,0.5299777942264988,0.5484826054774241,0.0
Gradient boosting,0.31,0.5214387624840429,0.5419388751220244,0.0
Gradient boosting,0.32,0.5181347150259067,0.535202682109113,0.0
Gradient boosting,0.33,0.5123346995591987,0.5282654087077565,0.0
Gradient boosting,0.34,0.5063589260480451,0.5211179149002982,0.0
Gradient boosting,0.35,0.5001992825827022,0.5137504982064567,0.0
Gradient boosting,0.36,0.49676165803108807,0.5061528497409327,0.0
Gradient boosting,0.37,0.490336376346739,0.4983140060860268,0.0
Gradient boosting,0.38,0.4733411332107639,0.4902222965067692,0.0
Gradient boosting,0.39,0.4664911237577508,0.4818652849740932,0.0
Gradient boosting,0.4,0.4490500863557858,0.47322970639032813,0.0
Gradient boosting,0.41,0.4401510494423465,0.4643013963291473,0.0
Gradient boosting,0.42,0.4275504734679292,0.45506521350723605,0.0
Gradient boosting,0.43,0.42377965639487314,0.4455049540950823,0.0
Gradient boosting,0.44,0.4056254626202813,0.43560325684678014,0.0
Gradient boosting,0.45,0.401789919924635,0.42534149788035797,0.0
Gradient boosting,0.46,0.3884091345231242,0.41469967376703126,0.0
Gradient boosting,0.47,0.3799002835076743,0.40365627138527715,0.0
Gradient boosting,0.48,0.3706656038262256,0.3921881227580709,0.0
Gradient boosting,0.49,0.3616783500965153,0.38027024281215077,0.0
Gradient boosting,0.5,0.36269430051813467,0.36787564766839376,0.0
Gradient boosting,0.51,0.3482076768531246,0.35497515068203445,0.0
Gradient boosting,0.52,0.33333333333333326,0.3415371329879101,0.0
Gradient boosting,0.53,0.3180465218829236,0.3275272847536103,0.0
Gradient boosting,0.54,0.3023203424194638,0.31290831268303665,0.0
Gradient boosting,0.55,0.2913068508923431,0.2976396085204374,0.0
Gradient boosting,0.56,0.29439472444653786,0.28167687235044736,0.0
Gradient boosting,0.57,0.27798529943366673,0.26497168333534166,0.0
Gradient boosting,0.58,0.2662225511966445,0.24747100912904024,0.0
Gradient boosting,0.59,0.25097940098571975,0.22911664349804123,0.0
Gradient boosting,0.6,0.2409326424870467,0.20984455958549225,0.0
Gradient boosting,0.61,0.2309020858243656,0.18958416367742792,0.0
Gradient boosting,0.62,0.21570766293973276,0.16825743114262337,0.0
Gradient boosting,0.63,0.20207253886010368,0.1457779022545862,0.0
Gradient boosting,0.64,0.1813471502590674,0.12204951065054681,0.0
Gradient boosting,0.65,0.17616580310880825,0.09696521095484811,0.0
Gradient boosting,0.66,0.1807375800060957,0.07040536421822607,0.0
Gradient boosting,0.67,0.1712984769979588,0.04223582980059648,0.0
Gradient boosting,0.68,0.17292746113989627,0.012305699481865107,0.0
Gradient boosting,0.69,0.1370549891358851,-0.01955540698646152,0.0
Gradient boosting,0.7,0.11053540587219346,-0.05354058721934363,0.0
Gradient boosting,0.71,0.0829015544041451,-0.08986957298552789,0.0
Gradient boosting,0.72,0.04367135455218357,-0.1287934863064396,0.0
Gradient boosting,0.73,0.06582229898292075,-0.17060065246593736,0.0
Gradient boosting,0.74,0.06496612196094065,-0.21562375448385807,0.0
Gradient boosting,0.75,0.031088082901554404,-0.2642487046632125,0.0
Gradient boosting,0.76,0.012089810017271108,-0.3169257340241798,0.0
Gradient boosting,0.77,-0.02410452804685742,-0.3741833746339267,0.0
Gradient boosting,0.78,0.0032972209138011355,-0.4366462552991053,0.0
Gradient boosting,0.79,-0.014063656550703296,-0.5050579817419198,0.0
Gradient boosting,0.8,-0.041450777202072575,-0.5803108808290158,0.0
Support vector machine,0.01,0.6807452766001989,0.6807452766001989,0.0
Support vector machine,0.02,0.6774875753410172,0.6774875753410172,0.0
Support vector machine,0.03,0.6741627049837081,0.6741627049837081,0.0
Support vector machine,0.04,0.6707685664939551,0.6707685664939551,0.0
Support vector machine,0.05,0.6673029724570494,0.6673029724570494,0.0
Support vector machine,0.06,0.6637636423768052,0.6637636423768052,0.0
Support vector machine,0.07,0.6601481976711794,0.6601481976711794,0.0
Support vector machine,0.08,0.6564541563415184,0.6564541563415184,0.0
Support vector machine,0.09,0.6526789272903263,0.6526789272903263,0.0
Support vector machine,0.1,0.6488198042602188,0.6488198042602188,0.0
Support vector machine,0.11,0.6448739593642662,0.6448739593642662,0.0
Support vector machine,0.12,0.6408384361752237,0.6408384361752237,0.0
Support vector machine,0.13,0.6367101423381574,0.6367101423381574,0.0
Support vector machine,0.14,0.6324858416676707,0.6324858416676707,0.0
Support vector machine,0.15,0.6281621456872905,0.6281621456872905,0.0
Support vector machine,0.16,0.6237355045645201,0.6237355045645201,0.0
Support vector machine,0.17,0.6192021973905987,0.6192021973905987,0.0
Support vector machine,0.18,0.6145583217490206,0.6145583217490206,0.0
Support vector machine,0.19,0.6097997825113541,0.6097997825113541,0.0
Support vector machine,0.2,0.604922279792746,0.604922279792746,0.0
Support vector machine,0.21,0.5999212959926543,0.5999212959926543,0.0
Support vector machine,0.22,0.5947920818387139,0.5947920818387139,0.0
Support vector machine,0.23,0.5895296413431128,0.5895296413431128,0.0
Support vector machine,0.24,0.5841287155713117,0.5841287155713117,0.0
Support vector machine,0.25,0.5785837651122625,0.5785837651122625,0.0
Support vector machine,0.26,0.5728889511272931,0.5728889511272931,0.0
Support vector machine,0.27,0.5670381148413656,0.5670381148413656,0.0
Support vector machine,0.28,0.5610247553252734,0.5610247553252734,0.0
Support vector machine,0.29,0.5548420054002773,0.5548420054002773,0.0
Support vector machine,0.3,0.5484826054774241,0.5484826054774241,0.0
Support vector machine,0.31,0.5419388751220244,0.5419388751220244,0.0
Support vector machine,0.32,0.535202682109113,0.535202682109113,0.0
Support vector machine,0.33,0.5282654087077565,0.5282654087077565,0.0
Support vector machine,0.34,0.5211179149002982,0.5211179149002982,0.0
Support vector machine,0.35,0.5137504982064567,0.5137504982064567,0.0
Support vector machine,0.36,0.5061528497409327,0.5061528497409327,0.0
Support vector machine,0.37,0.4983140060860268,0.4983140060860268,0.0
Support vector machine,0.38,0.4902222965067692,0.4902222965067692,0.0
Support vector machine,0.39,0.4818652849740932,0.4818652849740932,0.0
Support vector machine,0.4,0.47322970639032813,0.47322970639032813,0.0
Support vector machine,0.41,0.4643013963291473,0.4643013963291473,0.0
Support vector machine,0.42,0.45506521350723605,0.45506521350723605,0.0
Support vector machine,0.43,0.4572311608035633,0.4455049540950823,0.0
Support vector machine,0.44,0.44781643227239076,0.43560325684678014,0.0
Support vector machine,0.45,0.4380593499764484,0.42534149788035797,0.0
Support vector machine,0.46,0.42794089426213777,0.41469967376703126,0.0
Support vector machine,0.47,0.4070779157297878,0.40365627138527715,0.0
Support vector machine,0.48,0.3961737744121163,0.3921881227580709,0.0
Support vector machine,0.49,0.38463882962511436,0.38027024281215077,0.0
Support vector machine,0.5,0.378238341968912,0.36787564766839376,0.0
Support vector machine,0.51,0.3612139156180607,0.35497515068203445,0.0
Support vector machine,0.52,0.3488773747841105,0.3415371329879101,0.0
Support vector machine,0.53,0.33601587476573697,0.3275272847536103,0.0
Support vector machine,0.54,0.3286776300968686,0.31290831268303665,0.0
Support vector machine,0.55,0.31491076568796766,0.2976396085204374,0.0
Support vector machine,0.56,0.30711257654262836,0.28167687235044736,0.0
Support vector machine,0.57,0.28714302928063634,0.26497168333534166,0.0
Support vector machine,0.58,0.27362447569701465,0.24747100912904024,0.0
Support vector machine,0.59,0.2524958928345761,0.22911664349804123,0.0
Support vector machine,0.6,0.2383419689119171,0.20984455958549225,0.0
Support vector machine,0.61,0.21070811744386875,0.18958416367742792,0.0
Support vector machine,0.62,0.19580038178347425,0.16825743114262337,0.0
Support vector machine,0.63,0.15838117910656768,0.1457779022545862,0.0
Support vector machine,0.64,0.13413932066781797,0.12204951065054681,0.0
Support vector machine,0.65,0.13175425610658764,0.09696521095484811,0.0
Support vector machine,0.66,0.10637000914355382,0.07040536421822607,0.0
Support vector machine,0.67,0.07662113361595219,0.04223582980059648,0.0
Support vector machine,0.68,0.09909326424870463,0.012305699481865107,0.0
Support vector machine,0.69,0.08825004178505774,-0.01955540698646152,0.0
Support vector machine,0.7,0.04317789291882562,-0.05354058721934363,0.0
Support vector machine,0.71,0.004824012864034333,-0.08986957298552789,0.0
Support vector machine,0.72,-0.01406365655070313,-0.1287934863064396,0.0
Support vector machine,0.73,-0.008059873344847396,-0.17060065246593736,0.0
Support vector machine,0.74,-0.025906735751295318,-0.21562375448385807,0.0
Support vector machine,0.75,-0.05181347150259068,-0.2642487046632125,0.0
Support vector machine,0.76,-0.0604490500863558,-0.3169257340241798,0.0
Support vector machine,0.77,-0.06623113313809419,-0.3741833746339267,0.0
Support vector machine,0.78,-0.03485633537447009,-0.4366462552991053,0.0
Support vector machine,0.79,0.01283000246730815,-0.5050579817419198,0.0
Support vector machine,0.8,0.005181347150259058,-0.5803108808290158,0.0
