model,repeat,fold,n_test,n_positive,n_negative,fixed_params_from_primary_cv,auc,average_precision,brier,accuracy_at_0.5,balanced_accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,mcc_at_0.5
Gradient boosting,5,3,39,27,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6604938271604938,0.8092853061309322,0.19668469797116667,0.7435897435897436,0.6064814814814814,0.7428571428571429,0.9629629629629629,0.8387096774193549,0.3239757976459313
Support vector machine,5,3,39,27,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.5679012345679012,0.7110341544222691,0.20808139054256103,0.717948717948718,0.5416666666666666,0.7105263157894737,1.0,0.8307692307692308,0.2433321316961438
Penalized logistic regression,5,4,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.4807692307692308,0.661260374348733,0.2767220628169234,0.5263157894736842,0.5416666666666667,0.7222222222222222,0.5,0.5909090909090909,0.0775791113542719
Random forest,5,4,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.7371794871794871,0.8826369825033008,0.19959064951610858,0.6842105263157895,0.5897435897435898,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.20464687117164013
Gradient boosting,5,4,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6586538461538461,0.8386955294850325,0.2075490719463958,0.7105263157894737,0.5865384615384616,0.7272727272727273,0.9230769230769231,0.8135593220338984,0.23799864840657528
Support vector machine,5,4,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.6666666666666666,0.8116838078965124,0.20952979192566612,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
Penalized logistic regression,5,5,38,26,12,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",0.4326923076923077,0.6285682037617124,0.3126711908496621,0.5,0.5224358974358975,0.7058823529411765,0.46153846153846156,0.5581395348837209,0.04194851880896947
Random forest,5,5,38,26,12,"{""model__max_depth"": 3, ""model__max_features"": null, ""model__min_samples_leaf"": 2}",0.4551282051282052,0.7120671617869293,0.2640250867948436,0.5,0.4326923076923077,0.64,0.6153846153846154,0.6274509803921569,-0.13189560153447882
Gradient boosting,5,5,38,26,12,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 50}",0.6025641025641025,0.7954513245959366,0.23248550045443928,0.631578947368421,0.5064102564102564,0.6875,0.8461538461538461,0.7586206896551724,0.016343011261515335
Support vector machine,5,5,38,26,12,"{""model__C"": 3.0, ""model__gamma"": 0.1}",0.4551282051282052,0.6678404703690275,0.22019291757951795,0.6842105263157895,0.5,0.6842105263157895,1.0,0.8125,0.0
