model,fold,y_true,probability
Gradient boosting,2,1,0.8155292337296758
Gradient boosting,2,1,0.613137330630315
Gradient boosting,2,0,0.801037640371001
Gradient boosting,2,0,0.641082775617398
Gradient boosting,2,0,0.7302149123047534
Gradient boosting,2,0,0.7718240982471892
Gradient boosting,2,1,0.8081182071384433
Gradient boosting,2,1,0.8158861882466578
Gradient boosting,2,1,0.6172886008524004
Gradient boosting,2,0,0.7229909038318928
Gradient boosting,2,1,0.74384151347806
Gradient boosting,2,1,0.7349263987882779
Gradient boosting,2,1,0.7341684262065725
Gradient boosting,2,1,0.7514307309369164
Gradient boosting,2,1,0.7456227072212439
Gradient boosting,2,1,0.6586758512422192
Gradient boosting,2,0,0.8309225430988134
Gradient boosting,2,1,0.7333578201341553
Support vector machine,2,0,0.6585604359309758
Support vector machine,2,0,0.6745113869018676
Support vector machine,2,0,0.6875889357059153
Support vector machine,2,1,0.6583657184656854
Support vector machine,2,0,0.6745113592762119
Support vector machine,2,1,0.7179552775058955
Support vector machine,2,1,0.667119299418801
Support vector machine,2,1,0.7040223636252207
Support vector machine,2,1,0.6685542030054334
Support vector machine,2,1,0.7101895669822956
Support vector machine,2,1,0.7465452480669482
Support vector machine,2,1,0.7479237270937764
Support vector machine,2,1,0.6952446297699466
Support vector machine,2,1,0.6832512998778085
Support vector machine,2,0,0.6638321537733465
Support vector machine,2,1,0.6013468758291172
Support vector machine,2,1,0.6988047159772505
Support vector machine,2,0,0.6963780197296561
Support vector machine,2,1,0.6544036472872342
Support vector machine,2,1,0.6682784096702414
Support vector machine,2,1,0.6834059656220324
Support vector machine,2,1,0.6709383366295908
Support vector machine,2,1,0.6475815817568955
Support vector machine,2,0,0.6834572392729751
Support vector machine,2,0,0.6491007436172113
Support vector machine,2,0,0.6713141219177454
Support vector machine,2,0,0.7017776478931237
Support vector machine,2,1,0.6733956009333324
Support vector machine,2,1,0.7459289427280651
Support vector machine,2,1,0.6276325350464008
Support vector machine,2,0,0.6459545838185222
Support vector machine,2,1,0.677135617909441
Support vector machine,2,1,0.6770283089838219
Support vector machine,2,1,0.7344126660873651
Support vector machine,2,1,0.7511687066875342
Support vector machine,2,1,0.6851666598376115
Support vector machine,2,1,0.7158309645391985
Support vector machine,2,0,0.721631099766964
Support vector machine,2,1,0.6664806791004234
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,1,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Penalized logistic regression,3,0,0.5135326812290261
Random forest,3,1,0.3174764434806741
Random forest,3,0,0.9669139518067117
Random forest,3,0,0.35234843895458146
Random forest,3,1,0.8667570465776079
Random forest,3,0,0.7175074355369816
Random forest,3,1,0.8527757829315387
Random forest,3,1,0.5504340561691037
Random forest,3,1,0.9634560448058176
Random forest,3,1,0.9658211153407986
Random forest,3,1,0.8017546544817016
Random forest,3,1,0.77360794878134
Random forest,3,0,0.5019014631448676
Random forest,3,1,0.9726817440639447
Random forest,3,1,0.7133089396851151
Random forest,3,0,0.7907629510757374
Random forest,3,0,0.9274875242240443
Random forest,3,1,0.9278055857587473
Random forest,3,0,0.74947833423527
Random forest,3,1,0.5864654308500521
Random forest,3,1,0.4243900669604283
Random forest,3,1,0.7388912096071215
Random forest,3,1,0.5014669128812859
Random forest,3,1,0.3023412686380963
Random forest,3,0,0.5605464989466784
Random forest,3,0,0.6762908294887247
Random forest,3,1,0.5491117643160492
Random forest,3,1,0.7406426920995716
Random forest,3,1,0.6431569365510291
Random forest,3,1,0.3029444294574217
Random forest,3,1,0.6638241915307748
Random forest,3,1,0.7304992981671146
Random forest,3,1,0.9603176356790414
Random forest,3,0,0.6976177466352481
Random forest,3,1,0.8834033378089707
Random forest,3,1,0.5860497049500399
Random forest,3,1,0.5616635669940979
Random forest,3,1,0.41013408995205236
Random forest,3,0,0.5045002221685044
Random forest,3,0,0.8952801545869821
Gradient boosting,3,1,0.25918131677203066
Gradient boosting,3,0,0.9085467740585225
Gradient boosting,3,0,0.35605928921974866
Gradient boosting,3,1,0.8964425807271555
Gradient boosting,3,0,0.7720010044508826
Gradient boosting,3,1,0.9575887001071102
Gradient boosting,3,1,0.8140084217730235
Gradient boosting,3,1,0.9584872102820906
Gradient boosting,3,1,0.952090322742122
Gradient boosting,3,1,0.8261828210450389
Gradient boosting,3,1,0.8963496731668832
Gradient boosting,3,0,0.4702334934492087
Gradient boosting,3,1,0.9629937686813199
Gradient boosting,3,1,0.7158473422763523
Gradient boosting,3,0,0.8851923850979649
Gradient boosting,3,0,0.968509763452187
Gradient boosting,3,1,0.9700874525473404
Gradient boosting,3,0,0.6034885763288385
Gradient boosting,3,1,0.7835050930187345
Gradient boosting,3,1,0.6942923930910041
Gradient boosting,3,1,0.8039047907319665
Gradient boosting,3,1,0.8121296210705594
Gradient boosting,3,1,0.3086485023756959
Gradient boosting,3,0,0.4097284494681442
Gradient boosting,3,0,0.8378612282365634
Gradient boosting,3,1,0.5349680194048824
Gradient boosting,3,1,0.712058069877749
Gradient boosting,3,1,0.6889038531676716
Gradient boosting,3,1,0.3756005213358599
Gradient boosting,3,1,0.6344821706786334
Gradient boosting,3,1,0.7415422797441299
Gradient boosting,3,1,0.9629937686813199
Gradient boosting,3,0,0.8943979321255618
Gradient boosting,3,1,0.89166474099736
Gradient boosting,3,1,0.8518610026894493
Gradient boosting,3,1,0.6848404724281163
Gradient boosting,3,1,0.43395364520832275
Gradient boosting,3,0,0.4937951656824158
Gradient boosting,3,0,0.9529901044350801
Support vector machine,3,1,0.6688433263182537
Support vector machine,3,0,0.77714206169262
Support vector machine,3,0,0.716106471254819
Support vector machine,3,1,0.7054217498192648
Support vector machine,3,0,0.6671499632789127
Support vector machine,3,1,0.7045577439582422
Support vector machine,3,1,0.7306593699934044
Support vector machine,3,1,0.806704006345857
Support vector machine,3,1,0.7430490833521143
Support vector machine,3,1,0.7360968039638417
Support vector machine,3,1,0.706631924145889
Support vector machine,3,0,0.7867699365915549
Support vector machine,3,1,0.7641950321311041
Support vector machine,3,1,0.6688355136002929
Support vector machine,3,0,0.6480737740834065
Support vector machine,3,0,0.7625477248835483
Support vector machine,3,1,0.7083493665713855
Support vector machine,3,0,0.6221437678142888
Support vector machine,3,1,0.6532372773630746
Support vector machine,3,1,0.7353479244594093
Support vector machine,3,1,0.6820143981257389
Support vector machine,3,1,0.7196997033073246
Support vector machine,3,1,0.6747128779586286
Support vector machine,3,0,0.5580906060482033
Support vector machine,3,0,0.6747643472797502
Support vector machine,3,1,0.6127486237433561
Support vector machine,3,1,0.6906453006869028
Support vector machine,3,1,0.662085498932869
Support vector machine,3,1,0.7093644871374865
Support vector machine,3,1,0.7481186338643085
Support vector machine,3,1,0.7254584286097999
Support vector machine,3,1,0.7782085240504263
Support vector machine,3,0,0.7003753297664566
Support vector machine,3,1,0.7416532455762798
Support vector machine,3,1,0.6944877625745939
Support vector machine,3,1,0.567210607617833
Support vector machine,3,1,0.6460721621939266
Support vector machine,3,0,0.7489989631475306
Support vector machine,3,0,0.6443152933037031
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,0,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
Penalized logistic regression,4,1,0.48952302482882265
